timestamp,flow_id,from_host,to_host,from_ip,to_ip,traffic_type,size_bytes,bandwidth_bps,latency_ms,duration_sec,packet_loss_pct,status,details,flow_start_time,flow_end_time
2025-06-09 14:56:51.473,flow_233,h1,h5,10.0.1.1,10.0.3.1,mtr,640,0,9.516,34.071714,0.0,SUCCESS,"NetDiag: Excellent | Tests: basic(8.0ms,0%loss) | small_pkt(7.9ms,0%loss) | large_pkt(8.0ms,0%loss) | rapid(7.9ms,0%loss) | Jitter: 2.3% | Successful: 4/4",2025-06-09 14:56:51.473,2025-06-09 14:57:25.545
2025-06-09 14:57:10.008,flow_238,h4,h1,10.0.2.2,10.0.1.1,mtr,640,0,14.376,17.976406,0.0,SUCCESS,"NetDiag: Poor | Tests: basic(9.8ms,0%loss) | small_pkt(8.4ms,0%loss) | large_pkt(8.1ms,0%loss) | rapid(21.6ms,0%loss) | Jitter: 112.5% | Successful: 4/4",2025-06-09 14:57:10.008,2025-06-09 14:57:27.984
2025-06-09 14:57:15.035,flow_240,h4,h5,10.0.2.2,10.0.3.1,mtr,640,0,9.852,18.806033,0.0,SUCCESS,"NetDiag: Good | Tests: basic(9.2ms,0%loss) | small_pkt(7.4ms,0%loss) | large_pkt(7.4ms,0%loss) | rapid(8.9ms,0%loss) | Jitter: 22.4% | Successful: 4/4",2025-06-09 14:57:15.035,2025-06-09 14:57:33.841
2025-06-09 14:57:06.493,flow_235,h6,h7,10.0.3.2,10.0.4.1,iperf,1572864,10710000,9.935,20,0,SUCCESS,"Transfer: 1.50 MBytes, Bandwidth: 10.71 Mbits/sec | Latency: 9.94ms",2025-06-09 14:57:06.493,2025-06-09 14:57:33.674
2025-06-09 14:57:28.564,flow_243,h7,h5,10.0.4.1,10.0.3.1,iperf,1174405,8024000,13.991,10,0,SUCCESS,"Transfer: 1.12 MBytes, Bandwidth: 8.02 Mbits/sec | Latency: 13.99ms",2025-06-09 14:57:28.564,2025-06-09 14:57:42.160
2025-06-09 14:57:12.522,flow_239,h6,h5,10.0.3.2,10.0.3.1,mtr,640,0,1.656,33.184873,0.0,SUCCESS,"NetDiag: Poor | Tests: basic(2.5ms,0%loss) | small_pkt(1.5ms,0%loss) | large_pkt(1.4ms,0%loss) | rapid(0.1ms,0%loss) | Jitter: 173.4% | Successful: 4/4",2025-06-09 14:57:12.522,2025-06-09 14:57:45.707
2025-06-09 14:57:35.073,flow_244,h3,h5,10.0.2.1,10.0.3.1,mtr,640,0,19.272,11.938622,0.0,SUCCESS,"NetDiag: Good | Tests: basic(15.7ms,0%loss) | small_pkt(13.6ms,0%loss) | large_pkt(16.4ms,0%loss) | rapid(18.6ms,0%loss) | Jitter: 31.4% | Successful: 4/4",2025-06-09 14:57:35.073,2025-06-09 14:57:47.011
2025-06-09 14:57:46.594,flow_247,h7,h5,10.0.4.1,10.0.3.1,ping,320,0,9.295,5,0,SUCCESS,"Packet Loss: 0%, RTT: 7.275/7.746/8.019/0.300 ms",2025-06-09 14:57:46.594,2025-06-09 14:57:50.611
2025-06-09 14:57:21.550,flow_241,h1,h3,10.0.1.1,10.0.2.1,iperf,1572864,10710000,9.878,30,0,SUCCESS,"Transfer: 1.50 MBytes, Bandwidth: 10.71 Mbits/sec | Latency: 9.88ms",2025-06-09 14:57:21.550,2025-06-09 14:57:55.652
2025-06-09 14:57:51.605,flow_249,h1,h2,10.0.1.1,10.0.1.2,mtr,640,0,9.972,16.082592,0.0,SUCCESS,"NetDiag: Poor | Tests: basic(0.2ms,0%loss) | small_pkt(3.4ms,0%loss) | large_pkt(15.7ms,0%loss) | rapid(14.0ms,0%loss) | Jitter: 187.0% | Successful: 4/4",2025-06-09 14:57:51.605,2025-06-09 14:58:07.688
2025-06-09 14:58:08.641,flow_251,h1,h5,10.0.1.1,10.0.3.1,ping,320,0,13.412,5,0,SUCCESS,"Packet Loss: 0%, RTT: 8.960/11.177/13.379/1.558 ms",2025-06-09 14:58:08.641,2025-06-09 14:58:12.666
2025-06-09 14:58:13.150,flow_252,h4,h3,10.0.2.2,10.0.2.1,mtr,640,0,307.176,12.750864,0.0,SUCCESS,"NetDiag: Poor | Tests: basic(407.1ms,0%loss) | small_pkt(422.3ms,0%loss) | large_pkt(169.1ms,0%loss) | rapid(25.4ms,0%loss) | Jitter: 155.0% | Successful: 4/4",2025-06-09 14:58:13.150,2025-06-09 14:58:25.901
